Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Score - 260/280]	Term Source REF	Term Accession Number	Parameter Value[QA Score - 260/230]	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Spike-in Quality Control]	Term Source REF	Term Accession Number	Parameter Value[Spike-in Mix Number]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Library Selection]	Term Source REF	Term Accession Number	Parameter Value[Library Layout]	Term Source REF	Term Accession Number	Parameter Value[Stranded]	Term Source REF	Term Accession Number	Parameter Value[Library QA Instrument]	Term Source REF	Term Accession Number	Parameter Value[Library QA Assay]	Term Source REF	Term Accession Number	Parameter Value[Fragment Size]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sequencing Instrument]	Term Source REF	Term Accession Number	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[Base Caller]	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
FL1-1R	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			FL1-1R	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_FL1-1R_S2_L002_R2_001.fastq.gz,GLDS-375_rna-seq_FL1-1R_S2_L002_R1_001.fastq.gz	GeneLab raw data processing protocol	24603016	read	SO	http://purl.obolibrary.org/obo/SO_0000150	21	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL1-1S	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			FL1-1S	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_FL1-1S_S1_L002_R1_001.fastq.gz,GLDS-375_rna-seq_FL1-1S_S1_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	24855321	read	SO	http://purl.obolibrary.org/obo/SO_0000150	12.31	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL11-1R	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			FL11-1R	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_FL11-1R_S14_L002_R1_001.fastq.gz,GLDS-375_rna-seq_FL11-1R_S14_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	23972721	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.57	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL11-1S	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			FL11-1S	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_FL11-1S_S13_L002_R1_001.fastq.gz,GLDS-375_rna-seq_FL11-1S_S13_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	29741966	read	SO	http://purl.obolibrary.org/obo/SO_0000150	7.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL5-1R	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			FL5-1R	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_FL5-1R_S6_L002_R1_001.fastq.gz,GLDS-375_rna-seq_FL5-1R_S6_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	30455833	read	SO	http://purl.obolibrary.org/obo/SO_0000150	35.98	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL5-1S	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			FL5-1S	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_FL5-1S_S5_L002_R1_001.fastq.gz,GLDS-375_rna-seq_FL5-1S_S5_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	27710153	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9.91	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL9-1R	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			FL9-1R	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_FL9-1R_S10_L002_R1_001.fastq.gz,GLDS-375_rna-seq_FL9-1R_S10_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	26150734	read	SO	http://purl.obolibrary.org/obo/SO_0000150	35.15	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL9-1S	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			FL9-1S	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	OSD	https://osdr.nasa.gov/	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_FL9-1S_S9_L002_R1_001.fastq.gz,GLDS-375_rna-seq_FL9-1S_S9_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	30953908	read	SO	http://purl.obolibrary.org/obo/SO_0000150	14.7	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC1-1R	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			GC1-1R	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_GC1-1R_S4_L002_R1_001.fastq.gz,GLDS-375_rna-seq_GC1-1R_S4_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	32751555	read	SO	http://purl.obolibrary.org/obo/SO_0000150	54.15	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC1-1S	Nucleic Acid Extraction	Agilent 2100 Bioanalyzer	Not Available			Not Available			GC1-1S	spike-in protocol	Not Available			Not Available			Library Construction	cDNA	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C324	PAIRED	OSD	https://osdr.nasa.gov/				Not Available			Not Available				Not Available	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Not Available	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	rna-seq	GLDS-375_rna-seq_GC1-1S_S3_L002_R1_001.fastq.gz,GLDS-375_rna-seq_GC1-1S_S3_L002_R2_001.fastq.gz	GeneLab raw data processing protocol	26172234	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.38	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
